"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Корзина Читай-город. UI","ADD","Добавление нескольких товаров в корзину","0","0","1","0","0"
"Корзина Читай-город. API","ADD","Добавление товара в корзину","0","0","1","0","0"
"Корзина Читай-город. API","UPDATE","Изменение количества товаров в корзине","0","0","1","0","0"
"Корзина Читай-город. API","ADD","Добавление нескольких товаров в корзину","0","0","1","0","0"
"Корзина Читай-город. UI","ADD","Добавление одного товара в корзину","0","0","1","0","0"
"Корзина Читай-город. API","DELETE","Удаление товара из корзины","0","0","1","0","0"
