"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 24 14:05:17 MSK 2024","Mon Jun 24 14:06:13 MSK 2024","55395","","UI тесты на работу с корзиной","","","","Добавление 3 книг в корзину","Добавление книг из списка и подсчет общей стоимости покупки"
"passed","Mon Jun 24 14:04:03 MSK 2024","Mon Jun 24 14:04:05 MSK 2024","2391","","API тесты на работу с корзиной","","","","Добавление одной книги в корзину",""
"passed","Mon Jun 24 14:04:05 MSK 2024","Mon Jun 24 14:04:09 MSK 2024","3726","","API тесты на работу с корзиной","","","","Увеличение количества единиц одной книги в корзине",""
"passed","Mon Jun 24 14:04:11 MSK 2024","Mon Jun 24 14:04:19 MSK 2024","7424","","API тесты на работу с корзиной","","","","Добавление 3 книг в корзину",""
"passed","Mon Jun 24 14:04:19 MSK 2024","Mon Jun 24 14:05:17 MSK 2024","58445","","UI тесты на работу с корзиной","","","","Добавление одной книги в корзину","Добавление 1 книги в корзину с последующим изменением количества ее экземпляров и удалением из корзины"
"passed","Mon Jun 24 14:04:09 MSK 2024","Mon Jun 24 14:04:11 MSK 2024","2647","","API тесты на работу с корзиной","","","","Удаление одной книги из корзины",""
